"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"    31 Euphrosyne (A854 RA)",3.164,0.2179,26.28,30.87,61.56,2.475,3.85,5.63,58859,0,2763,,,6.86,267.080,,0.053,5.53,,0.687,0.317,,Cb,C
"    32 Pomona (A854 UA)",2.587,0.0817,5.52,220.38,338.68,2.376,2.80,4.16,57652,0,2794,,,7.64,80.76,,0.2564,9.448,,0.857,0.429,,S,S
"    33 Polyhymnia (A854 UB)",2.875,0.3317,1.85,8.45,338.49,1.921,3.83,4.87,60617,0,3871,,,8.51,52.929,,0.240,18.608,,0.848,0.438,,Sq,S
"    34 Circe (A855 GA)",2.687,0.1066,5.50,184.33,330.22,2.401,2.97,4.41,57601,0,4304,,,8.63,132.992,,0.023,12.15,,0.707,0.357,,Ch,C
"    35 Leukothea (A855 HA)",2.993,0.2248,7.93,353.71,213.46,2.320,3.67,5.18,58997,0,4041,,,8.64,103.055,,0.066,31.9,,0.703,0.335,,C,C
"    37 Fides (A855 TB)",2.641,0.1759,3.07,7.26,62.62,2.177,3.11,4.29,60619,0,3191,,,7.39,108.35,,0.1826,7.3335,,0.843,0.414,,S,S
"    38 Leda (A856 AA)",2.742,0.1531,6.96,295.72,169.20,2.323,3.16,4.54,60566,0,3342,,,8.55,92.255,,0.055,12.838,,0.726,0.419,,Cgh,C
"    39 Laetitia (A856 CA)",2.77,0.1117,10.37,156.94,209.54,2.461,3.08,4.61,60562,0,5913,,,6.07,179.484,,0.269,5.138,,0.898,0.494,,S,S
"    40 Harmonia (A856 FA)",2.267,0.0465,4.26,94.17,268.65,2.162,2.37,3.41,57443,0,5508,,,7.17,111.251,,0.220,8.91,,0.854,0.432,,S,S
"    41 Daphne (A856 KA)",2.761,0.2746,15.79,178.06,45.92,2.003,3.52,4.59,56815,0,3346,,,7.44,205.495,,0.059,5.988,,0.726,0.363,,Ch,C
"    42 Isis (A856 KB)",2.442,0.2227,8.51,84.19,237.18,1.898,2.99,3.82,60470,0,3158,,,7.59,110.997,,0.139,13.59,,0.874,0.462,,L,S
